FACode,Task,eNB,ExtendedENB,EquipmentId,AOTSCR,Category,Type,WhoFix,IsUnavoidable,ActivityType,Alarms,Severity,MW,AttachmentType,Attachment,Description,Status,AssignedTo,Priority,ScheduleDate,ActualDate,TargetDate,RequestedBy,RequestDate,CreateDate,CreatedBy
10127254,Null,MNL05342,,,,,Materials,AT&T,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/14/2017 0:00,8/14/2017 0:00,,,10/19/2017 13:25,10/19/2017 13:25,TAN
10097484,Null,NYL01352,,,,,Weather,Unavoid,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/22/2017 0:00,8/22/2017 0:00,,,10/19/2017 13:25,10/19/2017 13:25,TAN
10101828,Null,AZL00437,,,,,Weather,Unavoid,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/23/2017 0:00,8/23/2017 0:00,,,10/19/2017 13:25,10/19/2017 13:25,TAN
10117774,Null,MNL01217,,,,,Materials,Nokia,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/25/2017 0:00,8/25/2017 0:00,,,10/19/2017 13:25,10/19/2017 13:25,TAN
10147087,Null,MNL01240,,,,,Materials,Nokia,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/25/2017 0:00,8/25/2017 0:00,,,10/19/2017 13:25,10/19/2017 13:25,TAN
10141814,Null,MNL01223,,,,,Materials,Nokia,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/25/2017 0:00,8/25/2017 0:00,,,10/19/2017 13:25,10/19/2017 13:25,TAN
10102792,Null,MNL01228,,,,,Materials,Nokia,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/25/2017 0:00,8/25/2017 0:00,,,10/19/2017 13:36,10/19/2017 13:36,TAN
10116095,Null,MNL01402,,,,,Materials,Nokia,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/25/2017 0:00,8/25/2017 0:00,,,10/19/2017 13:36,10/19/2017 13:36,TAN
10141815,Null,MNL01213,,,,,PreMigAlarms,Nokia,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/25/2017 0:00,8/25/2017 0:00,,,10/19/2017 13:36,10/19/2017 13:36,TAN
10138465,Null,MNL03810,,,,,Technical,Nokia,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/27/2017 0:00,8/27/2017 0:00,,,10/19/2017 13:36,10/19/2017 13:36,TAN
10074831,Null,NYL01429,,,,,Weather,Unavoid,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/29/2017 0:00,8/29/2017 0:00,,,10/19/2017 13:36,10/19/2017 13:36,TAN
10144170,Null,MNL05738,,,,,Field Issues,Nokia,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/29/2017 0:00,8/29/2017 0:00,,,10/19/2017 13:36,10/19/2017 13:36,TAN
10152833,Null,MNL05451,,,,,Materials,AT&T,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/30/2017 0:00,8/30/2017 0:00,,,10/19/2017 13:36,10/19/2017 13:36,TAN
10097630,Null,NYL01250,,,,,Site Access,AT&T,,,HDMI,,Day,Item,,The following site are being rescheduled. PSAP SIM provisioning issues,HDMI,,,8/31/2017 0:00,8/31/2017 0:00,,,10/19/2017 13:36,10/19/2017 13:36,TAN
